Type,Name,Entity ID,URL
Permit,"The main meter is under 200a. need to change the meter to a main meter combo relocate breaker injection and remove the feed-through panel.",XPDXPK263bYjSrjH19cRg9,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/XPDXPK263bYjSrjH19cRg9
Record Type,"Residential demolition",WJWfwXVv82ZNomkBJgEAXN,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WJWfwXVv82ZNomkBJgEAXN
Record Type,"Commercial electrical",Ru1ni1xBN6JwYcomEQSfVF,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Ru1ni1xBN6JwYcomEQSfVF
Record Type,"Express building permit",Q5J1t9jeNJ7e4wx5cYutJ5,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Q5J1t9jeNJ7e4wx5cYutJ5
Record Type,"Residential plumbing",8weDS1pBNPuU471a9bopUx,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/8weDS1pBNPuU471a9bopUx
Record Type,"Residential electrical",7yZzXj2VM9Fg2ZJSj1dxn6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/7yZzXj2VM9Fg2ZJSj1dxn6
Record Type,"Residential revision-supplement",F48g7BBR2NrPcaoTr7pKJo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/F48g7BBR2NrPcaoTr7pKJo
Record Type,"Commercial demolition",V2CG2Ap3FafoXX1GvxpuhC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/V2CG2Ap3FafoXX1GvxpuhC
Status,"Awaiting plans",TrbTyCwww7mxV7V5ZCv48v,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/TrbTyCwww7mxV7V5ZCv48v
Status,"Incomplete submittal",4DRWmnannepX9iHUHTG2s6,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/4DRWmnannepX9iHUHTG2s6
Status,"N/a",WNhSEPKdRXnEj6B1m41asS,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/WNhSEPKdRXnEj6B1m41asS
Status,"Closed - withdrawn",VPVR4yC1fnmufhdDVgKyDo,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/VPVR4yC1fnmufhdDVgKyDo
Status,"Closed - supp-rev approved",RUHmk85M4tprUKSpM2SyAB,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RUHmk85M4tprUKSpM2SyAB
Status,"In review",Uso7LbkJsGDA7xkDGKfHeP,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Uso7LbkJsGDA7xkDGKfHeP
Permit,"Permit #br-sol-24-00780.001",NHV5RxxUHQsLMPKyxhFJiD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/NHV5RxxUHQsLMPKyxhFJiD
Triple,"Residential demolition",UsdepoWa8vGmEuC2xn4j1f,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/UsdepoWa8vGmEuC2xn4j1f
Triple,"Awaiting plans",UsdepoWa8vGmEuC2xn4j1f,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/UsdepoWa8vGmEuC2xn4j1f
Triple,"Fire alarm panel relocate",Tk2TLvxj5GtEbV7vVNrx1N,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N
Triple,"Commercial electrical",Tk2TLvxj5GtEbV7vVNrx1N,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N
Triple,"Incomplete submittal",Tk2TLvxj5GtEbV7vVNrx1N,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Tk2TLvxj5GtEbV7vVNrx1N
Triple,"Reroof 21sq. with owens corning shingles fl10674.1 r20 and owens corning underlayment fl15216.1 r13. reroof 4sq. flat roof with certainteed modified fl2533.1 r32",LK6wzjrvGJVjex45bXyMTD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LK6wzjrvGJVjex45bXyMTD
Triple,"Express building permit",LK6wzjrvGJVjex45bXyMTD,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LK6wzjrvGJVjex45bXyMTD
Triple,"Disconnect old service meter, provide a new 150 amp meter main service box, and add 1 gfci receptacle for temp power. new meter and service will be permanent after temp power.",HkkxEbhCBTqU1VGnV5R7JC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC
Triple,"Express building permit",HkkxEbhCBTqU1VGnV5R7JC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC
Triple,"N/a",HkkxEbhCBTqU1VGnV5R7JC,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/HkkxEbhCBTqU1VGnV5R7JC
Triple,"Remove old roofing system and install atlas shingle roofing system (30sq with 4/12 pitch). ppi - nobility inspections",Y3fdGQw6kXnEKTXAjFCwnm,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y3fdGQw6kXnEKTXAjFCwnm
Triple,"Express building permit",Y3fdGQw6kXnEKTXAjFCwnm,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y3fdGQw6kXnEKTXAjFCwnm
Triple,"Residential plumbing",LmDNEMdLE1jwpKVtU3NQcJ,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LmDNEMdLE1jwpKVtU3NQcJ
Triple,"Awaiting plans",LmDNEMdLE1jwpKVtU3NQcJ,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/LmDNEMdLE1jwpKVtU3NQcJ
Triple,"Add a 150 amp meter main/tug box disconnect on side of house for temp service. will be a permanent system after temp use.",RZByHuuGmDFXbtyNizH2Gt,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt
Triple,"Residential electrical",RZByHuuGmDFXbtyNizH2Gt,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt
Triple,"Closed - withdrawn",RZByHuuGmDFXbtyNizH2Gt,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/RZByHuuGmDFXbtyNizH2Gt
Triple,"Shifting the house 4' to the north to allow for more room between the new build and the adjacent home.",Y1TS4rBUY5Cg2SasK1o3g7,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y1TS4rBUY5Cg2SasK1o3g7
Triple,"Residential revision-supplement",Y1TS4rBUY5Cg2SasK1o3g7,https://geogenesis-git-feat-testnet-geo-browser.vercel.app/space/XPZ8fnf3DvNMRDbFgxEZi2/Y1TS4rBUY5Cg2SasK1o3g7
